,V1Speed,V2Speed,V3Speed,V4Speed,V5Speed,V6Speed,V1Acc,V2Acc,V3Acc,V4Acc,V5Acc,V6Acc,BSpeed,BAcc,Collapse Speed,Collapse Accuracy,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Participant
0,2.8200425646296168,2.2621652349088657,0.6197165481772919,2.3617977560770758,2.810396846240385,3.489716119531124,4.185062941684502,2.311158007597295,1.64098682512441,2.9331171132653404,2.791939877078287,2.6267499062943807,0.5053171195379984,0.5644843903656178,0.020576189146325724,0.04707598064883854,0.35842218171510476,0.3714497343075457,-1015.7000671561677,1
0,2.8526080135884273,1.485304158437933,1.5625620704929342,1.7023292972115942,2.8448832316071346,2.427909826489307,3.216794114427131,2.2510221336273175,1.7863240374203,2.297252444771194,1.893498195889513,2.2058266123836194,0.6478395825208993,0.9165670689737966,0.24467197291958423,0.13849124986906194,0.2911449612221133,0.36666069890562875,-286.23679932769465,3
0,4.32650153440693,2.1897816006392548,1.8491489020327094,3.547045089858331,3.2704968591014616,3.6297809263807554,3.190752472075643,3.3436836086666846,2.0400275891253945,2.6552351047034994,2.6792330526159103,2.4025176812556337,0.5018286900081979,0.6658481620062897,0.4636189287925909,0.11846490673518262,0.32721559376549053,0.3468767419153439,-1299.1246757999888,4
0,4.071335575083837,3.8389975138253134,2.179492061851762,3.254809528944283,4.0129236668463575,3.6286784402560244,3.9581803210411683,3.2073119634167297,2.7771673896218947,3.2514860950043865,2.12886359308727,2.6616688468968395,0.7925044308114435,0.8044500198207301,1.1278039037315695,0.2792773248936138,0.3001097833451211,0.4010868764171449,-1325.5054317156482,5
0,1.8608492546874642,1.2123913027768616,0.5411247427960966,0.8361158443539773,0.8655999599753703,0.7830482144973234,3.653563753128526,2.23217438109671,1.5395724407034594,2.1296982338529844,2.1908156650293664,2.80350882761846,0.7532250437742003,0.729921312592797,0.6658648356367434,0.19436562445236216,0.18755329967288725,0.3754806211112046,-357.16750529037506,6
0,0.7367583335347492,0.03857441845532428,0.0090832998682151,1.6023312412328372,2.068123930533142,1.4972841270763362,2.653411484429873,1.683400009473031,0.8667393554551426,1.2835043171762923,1.297361104986996,1.86184353862126,0.667527605287463,0.7036420003675072,0.4242082699586618,0.05194701272242375,0.1920839444085849,0.286807481501164,116.05356613440662,7
0,0.714324065233189,0.3368973132872308,0.14096063094665823,0.6797030851043147,0.7163682866668162,0.34244827667565136,1.6033341741188738,0.7349755288224675,0.3005818893883805,0.97808902794619,1.3296586153531118,1.0788159160748938,0.7340408143416592,1.317852943565856,0.43076625250431566,0.27883614040549176,0.17797891262863175,0.16886789932676005,1182.0286767301477,8
0,4.4577502966837494,2.036129749470324,1.1575242718698133,2.7835853491629714,3.0456186252749884,3.055709351583941,2.672705383935644,1.5567198196339462,1.1966902977530383,1.9185765377784862,1.8814136147578613,2.3512102721836046,0.5064432071688549,0.7521127748815171,0.18210968358250756,0.009718163293802151,0.3852231217698735,0.4087426026545521,-563.8525683172701,9
0,2.632448189081124,1.4687976371603375,0.8491114680804994,2.0764988436987393,2.744435880079127,2.520410017872343,4.114920726585258,2.204065964434314,1.9608045003973578,2.2613438748239276,1.6773488531081395,2.5104075147952294,0.5910530622574495,0.7376151139862972,0.389949744626231,0.03233944212876727,0.27934401049774665,0.35106281790387905,-1583.7566791408844,10
0,3.796237657525626,1.161121008008641,0.6524557211287259,1.3785230296475037,1.8478277201034854,2.208512085976685,4.396345435787662,2.320762081035578,1.5748486887095932,2.163478072979035,2.3633443349364107,2.4092558083593865,0.5347732103851572,0.7612537724793977,0.3878785096802029,0.3030218543445593,0.33245323585451325,0.3504479074703595,-1722.5273487244976,11
0,2.07826929112851,1.1993905858830465,0.5725832947420662,1.190973762705539,1.2943241277437256,1.2944706103363706,2.4026003315905893,1.1688425832517526,0.9488244171096762,1.5507167650523168,1.5596975272463576,1.529389820895683,0.8923458775462523,0.7742472937524245,0.5824258645685938,0.0341590116920194,0.18800151979394958,0.3070550874827933,609.7777103878111,12
0,2.0991805806317902,1.3804925158273953,0.48433293662845495,1.1879216475200582,1.7407210065909517,1.8341460431973249,1.8687408156484535,1.5726649789756677,0.8818624189048364,1.5961873420565076,1.448622819797477,1.4754348372399089,0.6207451830908381,0.8022026756191298,0.20087459215724882,0.000576236515108659,0.31338709501767303,0.36760113951719714,535.6746501043019,13
0,3.502382011160239,2.0926790620394846,1.338085615006678,1.921563886056262,1.5158369368722482,1.8649728125392024,2.2266433976414306,1.8210383154135905,1.237586149368432,1.8213470493607735,1.3984393842325,1.4488167861427421,0.8255780640901883,0.9558835865625793,0.7598952627984871,0.0006957211654715431,0.2840810272734017,0.344218122972933,235.81292947040208,14
0,1.9292493136628452,1.6256235940676103,0.8302749668675848,1.8650713501764915,1.582956457464943,1.839029827014997,2.623758021546302,1.9245968844755685,1.2248874310779292,2.0203648314987865,1.6979420300495536,2.0991282870941523,0.6935090138926445,0.9872104106438799,0.5842123805394861,0.12116775636166754,0.30244850411644886,0.3918008685654575,-330.34214764212027,15
0,1.4320370114154626,1.096943611562184,0.6348414437176997,1.0078695475573187,0.8114381104765611,0.9258472819928318,2.1562266110648203,1.8134095542697457,1.199634267388739,1.882699191086074,1.8038350408908088,2.0764469902796847,0.7756047874046454,0.8028777362870416,0.4839206694217961,0.0010858841449195022,0.21903690751643456,0.3906936186485539,675.688448413467,16
0,2.2968434379499216,2.7518528401372073,1.8703381444332006,2.135735862893752,2.3391257521790556,2.183767079214519,3.2506839244594197,2.444541314766847,1.8488798506818456,2.3948861753784363,2.260839155752734,2.2767882518670155,0.7495627568955134,0.9568354905560379,0.15619099931140257,0.12964022818777,0.29713006229447697,0.40349903749933774,-673.4913656777048,17
