,Participant,Drift Rate,Boundary Separation,Self-excitation,Non-decision Time,SAT,BIC
0,1,0.15778757259858825,4.49052539668118,9.090642501854855,0.10028675189988018,speed,-336.4268196039393
0,2,2.029850087560775,0.6877371383895494,3.462424571078209,0.3320311063767417,speed,-204.02564250954114
0,3,0.0,1.3465500082022497,2.1914413342158547,0.10189955071977147,speed,347.03681829500204
0,4,3.6865438360003577,0.8771572461019939,2.7256679551028995,0.3086186733502657,speed,-148.27463672535765
0,5,1.9558352021538112,1.2959661758063619,3.891352559173991,0.18746693756348293,speed,-72.54087330205272
0,6,1.266481085609704,1.981321398655103,7.321832556197444,0.18019352354197676,speed,-170.9145446178706
0,7,1.1819526280666972,1.201436187443897,6.81196222564664,0.18023217940964553,speed,-272.99015724904154
0,8,1.2245430288073706,2.1402867233824034,5.516961954437697,0.10080466109012104,speed,-15.403057402926748
0,9,0.7470787079188909,2.119510762668172,4.732377482087264,0.10080572802493176,speed,112.74348332085904
0,10,0.013370489976916604,1.2309301385024054,7.175665794815121,0.10062503647633636,speed,43.27376796169367
0,11,2.5846987544485525,6.024177321545039,5.526991938500205,0.10921003595669593,speed,-56.67382381819786
0,12,2.2177777208733125,0.8643418301397183,6.736996108697769,0.295618409227801,speed,-463.37882107742485
0,13,3.701992778871389,1.1872082885248383,4.976359437355663,0.25980431701296186,speed,-437.1671148011123
0,14,1.4437525572086773,0.7803744514320323,5.371790830420071,0.21857952942316278,speed,-229.9735199991246
0,15,0.3168606702819931,5.1425879599428095,7.95047771042787,0.10037776857824043,speed,-39.18473014471603
0,16,2.699709886273441,0.8763506057471457,5.419041109027477,0.30910609968194047,speed,-261.29785625643564
0,17,0.46131326202095624,1.3065698848107337,5.632765129507133,0.1007512766100504,speed,311.95190210348903
0,18,2.640690441534069,1.0549319497321132,7.12901404481683,0.23321263451430985,speed,-639.5237046551879
0,19,1.6083157663866057,0.6979764552910286,5.103620428700126,0.25277127416251294,speed,-152.21012401398727
0,20,1.3665478733065637,2.905530465165016,8.597363754903093,0.10899433915091611,speed,-500.03273242913514
0,21,0.3036164852729809,2.4782952893205543,10.0,0.10069270145526271,speed,-319.5772932008003
0,22,0.3043037564699241,1.8431670266701752,6.956932858132876,0.10004180442462057,speed,68.99165061621846
0,23,2.67685367795053,7.377417521696895,9.179160633060187,0.10154335529923547,speed,-190.39424261572327
0,24,1.659272428323515,0.9677858461281934,10.0,0.1989403198921324,speed,-810.9500308833826
0,25,1.913613662755975,1.79216040175432,9.901700005891142,0.19773666346650082,speed,-630.6239075387233
0,26,0.6338886998218953,1.7016763292257324,8.199121631400152,0.10048934590793662,speed,-305.9848311802931
0,27,6.0,2.7330947933918437,0.999584822405461,0.1039754059104927,speed,-193.9066786011329
0,28,2.3150508706211372,0.8378952318941177,8.253486974644487,0.23692004457330618,speed,-500.11362362096247
0,29,2.814236701740249,0.6190423172410546,7.641225653721788,0.2780772872057897,speed,-493.31003363391375
0,30,2.992406739175999,0.6586435564152904,3.815902868402957,0.3056968876672202,speed,-443.9207807055275
0,31,1.422999040635082,1.9910649883773028,7.302554053681868,0.15184832552781657,speed,-120.60334124134594
0,32,1.6503854074277609,1.2015628001519798,9.67576657431134,0.21283134493075112,speed,-739.8491844269096
0,1,0.8630777709086733,1.6569448601301393,4.7500450437680986,0.24629101600621844,accuracy,290.296178657881
0,2,1.6662583758887712,1.3148933249702544,5.200515606017559,0.3105726828514577,accuracy,4.283558697001666
0,3,0.0,6.899038794821129,3.782840713531263,0.17231183120980265,accuracy,221.08642532898955
0,4,6.0,3.907776933619741,2.2490512836644245,0.1096205762603979,accuracy,-53.628142871262234
0,5,2.2067368654068975,1.0175182694098472,2.2662960511570054,0.2830380728744328,accuracy,-7.100123317548707
0,6,1.7669803633345706,3.8565544616501897,4.4275516901744645,0.10098335258219399,accuracy,-15.860921156030987
0,7,3.956787861613323,1.4177012651682714,3.2402999763502764,0.3281619118750311,accuracy,-158.25724935546177
0,8,2.137232860610495,0.9250451875971564,2.586963313559616,0.2554746116748375,accuracy,-109.24570032163783
0,9,1.4142717506235813,1.4224778461857213,4.80279080772563,0.25081027378093634,accuracy,-2.5784737735756167
0,10,0.27142810223237857,1.9668405513944136,3.9064257197767582,0.10175533373677903,accuracy,221.96481403819143
0,11,3.6656677745888113,3.6492405238743593,4.286962877092728,0.21054519823903406,accuracy,-27.476566903997607
0,12,2.755181461317321,1.0311251116904718,3.2095835663038894,0.2960334812195362,accuracy,-201.09512999404348
0,13,2.669032029931481,1.4244580651622987,8.054660587858312,0.2634814185760663,accuracy,-203.53404021145755
0,14,3.136091159622849,1.1194318052582979,2.7494163918020993,0.26956626753693846,accuracy,-170.8124485331811
0,15,0.0661208839375007,3.2415693440461246,4.537698166612777,0.10444160073612369,accuracy,430.0828572858992
0,16,5.999999999882527,5.156939992206811,4.065545419761703,0.1278167271186756,accuracy,-215.5228096668268
0,17,1.7653038071560958,1.2880730634088016,2.3184976795721393,0.18977832623006036,accuracy,22.75717157582481
0,18,3.4936638957111104,1.3622374769258223,5.422828998836048,0.22221945196903403,accuracy,-353.6563991926714
0,19,2.6368681191739682,0.9258725723044399,4.773435151349799,0.257585301563065,accuracy,-181.4066514690188
0,20,2.984805714881876,1.1009883522865702,4.728367719080941,0.25186907521050506,accuracy,-384.91427955075716
0,21,2.2706355807234666,1.9940404839769421,5.41197627708914,0.19081824684869686,accuracy,-91.26181709424498
0,22,1.2315221809460193,1.6136628965469577,5.495214990405023,0.2432807759933861,accuracy,11.540249754076669
0,23,6.0,5.842308489499505,5.417323942852632,0.16537749499123489,accuracy,-55.56452313348481
0,24,3.1839378972114427,0.6253997993579361,6.639506464582159,0.29494017027360375,accuracy,-329.0412030389998
0,25,3.707312033589302,0.8230470275284092,4.8038868729190005,0.3112873871210209,accuracy,-252.04146924624897
0,26,2.849480756104617,0.7544289838565779,3.1630593059280265,0.2881004996157064,accuracy,-256.8916359709758
0,27,2.626711780238969,1.8735284724783399,5.56843006832259,0.2119161762544517,accuracy,-50.0233553045076
0,28,3.6111822544191616,0.7924956273734618,6.671365767266194,0.27155795892028634,accuracy,-439.5821630203898
0,29,3.262902860547071,0.5017018158691342,4.006182418208252,0.30610547792037407,accuracy,-458.25967077358536
0,30,2.785619473048365,0.9289194882001226,6.113877951311604,0.2949206869856406,accuracy,-340.9523686804392
0,31,3.901497357809735,3.727172042712559,5.721758294120629,0.13529670145994815,accuracy,-216.76829252841623
0,32,4.009501334605454,1.9531065871659865,7.071561949315564,0.21918445050839297,accuracy,-580.1259411278796
